cntry_AN,state_of_health,religious_member,political_member,distrust_people,environment_vs_economy,neighbour_distrust,conf_press,conf_parliament,conf_civil_service,conf_govt,E069_12,E115,avoid_fare,cheat_taxes,govt_surveilence,H010,H011,sex,age,G027A,V002,V001,location,alpha.3,official_name,ghs,ethnic,linguistic,religious,area_km2,pop.km2,code,Wbcode,year.x,area_km,area_mi,pct_pop_inc,pct_popdens_inc,assassinations,strikes,guarilla,crises,purges,riots,revolutions,antgovt_dem,confict_index,legis01,legis02,legis05,legis06,legis07,polit02,polit03,polit04,polit05,polit06,polit07,polit08,polit09,polit10,polit11,polit12,polit13,polit14,polit15,pop1,pop2,sch_enrol_per_cap,country_code,health_spending_pct_gdp,year.y,life_exp.x,country,year,gdp_per_capita,gdp_growth,literacy_rate,secondary_school_enrl,geni_index,life_exp.y,poverty_headcount,pop_65,fdi_pct_gdp,aid_per_cap
AD,1.9103585657370519,0.1575274177467597,0.029940119760479042,0.7442557442557443,1.344546381243629,2.2791625124626123,2.755,2.763987792472024,2.4934934934934936,0.49096385542168675,3.0425963488843815,2.3642785065590313,1.8882235528942115,1.6763236763236764,2.2642073778664007,3.5886454183266934,3.5732801595214356,1.4930278884462151,46.73705179282869,1.7231075697211156,0.06573705179282868,0.08391608391608392,Andorra,AND,Principality of Andorra,30.5,0.7139,0.6848,0.2326,464,164.17,0032,AND,2019,468,181,0,0,0,0,0,0,0,0,0,1,125,11,28,2,3,255,1,0,0,4,1,3,2,3,13,1,1,3,2,1,93,5138,967,AND,6.71033096,NA,NA,Andorra,2019,40886.3911648431,1.84923825726078,NA,NA,NA,NA,NA,NA,NA,NA
AL,2.5454048360554555,0.02819262800796318,0.01941040416920977,0.9839725949282463,1.5686322889272009,2.292667867519515,3.211890608458656,3.6752226247998356,2.8787443897252896,0.14457815300473778,3.6992363402813555,1.5456331739919156,1.330535916035433,1.6461982393586212,2.5209344284145674,3.1245126665161,3.0461271798821308,1.526408702078272,45.424808508535136,1.0177086234979418,1.0030165145002283,1.0035983850232242,Albania,ALB,Republic of Albania,52.9,0.2204,0.0399,0.4719,28703,99.73,0020,ALB,2019,28748,11100,27,31,0,0,0,0,0,16,0,5,5625,74,140,3,3,189,1,0,0,2,1,3,2,3,15,1,0,2,2,0,3284,2959,2033,ALB,5.26271439,2018,78.458,Albania,2019,5353.2448564014,2.24007026773023,NA,95.0865936279297,NA,NA,NA,14.2026306207364,7.86051277529631,9.95378369822205
AM,2.3633590335591634,0.05012973602937126,0.0593355533346494,0.7552915504257672,1.6293487787001095,2.1461650318227603,2.748802031090318,3.0122988179773977,2.852606448457065,0.25234817785023617,3.049502527763451,2.0944159997489216,3.8535298143360506,3.8792698623593433,2.4242683943741024,2.718603584445514,2.616311836390417,1.5515887376055755,43.816553712952576,1.0304445910199023,0.9191074442763616,0.9222324593859048,Armenia,ARM,Republic of Armenia,50.2,0.1272,0.1291,0.4576,29743,99.44000000000001,0045,ARM,2019,29743,11484,-31,-29,0,0,0,0,0,2,0,2,875,88,132,2,3,150,1,0,0,2,1,3,2,2,13,1,0,2,2,0,3207,2793,1523,ARM,10.02538967,2018,74.945,Armenia,2019,4622.73349328671,7.59999999853918,NA,86.4723281860352,NA,NA,NA,11.4836677169087,1.85826759386502,141.90946065965
AR,2.1979097265194807,0.3336863516101695,0.07969762112063809,0.8031134246911765,1.5756361609932203,2.0022246160252526,2.889491732232438,3.102822914628125,3.15127484050258,0.2975581488497462,3.3264766435714286,2.2926957793965714,3.094102189656535,2.1389954011411167,2.606255557264706,3.074343428569343,2.8431490690567824,1.5212946490747756,44.202740645401796,1.0164283222452641,0.7105117494614615,0.7882393708568569,Argentina,ARG,Argentine Republic,58.6,0.255,0.0618,0.2236,2780400,16.16,0040,ARG,2019,2780400,1073518,86,75,1,8,1,0,0,2,0,30,7938,64,257,2,3,402,1,0,0,2,2,2,1,0,23,1,1,2,2,1,43284,403,2881,ARG,9.62454033,2018,76.52,Argentina,2019,9912.28180859803,-2.08801486381233,NA,NA,NA,NA,35.5,11.2431082719004,1.49582091110711,0.406108657497794
AT,1.9775582876494775,0.3229304485911822,0.07486427457189321,0.4914425566527656,1.512421530696974,1.9171112771667465,2.8662001454561423,2.569389534889872,2.3906214284498137,0.3984473918122469,2.9073788650026304,2.4615500118517346,2.623404559103503,1.844076382132629,2.5742696881640916,3.2367736782174843,3.4398879139459915,1.5202476139253984,48.01052744040594,1.119165283114025,0.8327534915467706,0.836000604548496,Austria,AUT,Republic of Austria,58.5,0.1068,0.1522,0.4146,83879,106.14,0061,AUT,2019,83871,32383,35,34,0,0,0,1,0,0,0,8,1250,71,183,2,3,258,1,0,0,2,1,3,2,3,14,0,0,3,2,1,8610,2659,1692,AUT,10.32559872,2018,81.69268293,Austria,2019,50137.6627762476,1.41873427248989,NA,NA,NA,NA,NA,19.0756062856682,-1.8199783496317,NA
AU,2.1103541139877504,0.3798669331106764,0.0947389569516854,0.5124311127460938,1.3230242443872244,2.1593438018717235,3.064154220868597,2.8662844155346368,2.534626751051124,0.30524131344654787,3.156157054686908,2.4343342433122483,2.472152682438234,1.9921912392093801,1.8231324139155085,2.9670429390624653,2.97054173011074,1.5069308114374653,46.70521879533036,1.099159913545757,NA,NA,Australia,AUS,NA,75.5,0.0929,0.3349,0.8211,7692024,3,0050,AUS,2019,7741220,2988901,140,128,0,2,0,0,0,0,0,14,2250,77,151,2,3,196,1,0,0,1,1,3,2,3,29,1,0,3,2,1,23583,79,2934,AUS,9.28459835,2018,82.74878049,Australia,2019,55060.3261005013,2.16095629535999,NA,NA,NA,NA,NA,15.9212017459054,2.89989093701701,NA
AZ,2.372441519264983,0.003510424169363132,0.061972002304495406,0.71776100706484,1.452058169717314,2.256626472688105,2.4227272211067064,2.259844421724732,2.0892845732356595,0.93108459691845,2.795661262134869,2.5073943102873795,2.946547115830634,2.99032815654601,2.2199434523661528,2.9403345206026783,3.0723593497592927,1.514262862230133,42.11532173554227,1.0206669893118228,0.9849236409061852,0.9818596626824205,Azerbaijan,AZE,Republic of Azerbaijan,34.2,0.2047,0.2054,0.4899,86600,116.25,0064,AZE,2019,86600,33436,77,77,0,0,0,0,1,0,0,2,500,69,125,3,2,181,1,0,0,2,1,2,1,1,21,0,0,1,2,0,9631,2880,797,AZE,3.51373243,2018,72.864,Azerbaijan,2019,4793.58701966989,2.21870427670241,NA,94.7754898071289,NA,NA,NA,6.4463891203953,3.13005545965402,12.0698558458321
BA,2.2192181057277223,0.1301868708593165,0.05230561372672712,0.9089677546769543,1.6420296868203277,2.1976073022500744,3.1558852665925197,3.242275157600392,2.8828072349480425,0.18597830989647754,3.3962022760797126,1.969612157038981,2.4389185561701123,1.7606680989174295,2.512818243516307,3.1369856823782998,3.0267788568313763,1.5252026477155136,47.080076558366855,1.02484505039363,0.9774579609397585,0.9897372664609229,Bosnia and Herzegovina,BIH,Republic of Bosnia and Herzegovina,42.8,0.63,0.6751,0.6851,51209,68.57,0107,BIH,2019,51197,19767,-19,-21,0,0,0,0,0,1,0,7,1188,9,42,2,3,467,1,0,0,4,1,5,2,2,10,1,0,2,2,0,3756,1900,1457,BIH,8.895051,2018,77.262,Bosnia and Herzegovina,2019,6108.51069581338,2.67816082303464,NA,NA,NA,NA,NA,17.2011511663132,1.93516633806713,140.71796721164
BD,2.285,0.304857621440536,0.11989795918367346,0.8707256046705588,1.5234305923961096,1.8006672226855713,2.1073825503355703,1.9922813036020584,2.115695067264574,0.8205560235888796,2.638225255972696,2.4814814814814814,1.8008333333333333,1.7008333333333334,1.5800711743772242,2.1669941060903732,2.7721280602636535,1.5066666666666666,36.590833333333336,1,1,1,Bangladesh,BGD,People's Republic of Bangladesh,35,0.0454,0.0925,0.209,143998,1181,0901,BGD,2019,148460,57321,98,-206,0,4,5,0,0,10,0,7,11250,289,350,3,2,121,1,0,0,2,1,3,2,2,31,1,0,2,2,0,171803,29972,1997,BGD,2.3428061,2018,72.32,Bangladesh,2019,1855.73982408046,8.15268494677524,74.6844635009766,72.5581283569336,NA,NA,NA,5.18035134847486,0.630610264846871,27.492828228297
BG,2.5370698651620742,0.043086032335636695,0.05703970608255677,0.8284344506038613,1.4251518736442221,2.243800224246239,3.030048771226844,3.2421849914819094,2.9902893780629127,0.20980646912627077,3.291180137359518,1.822790380642679,1.6953032552738698,1.6519064771257976,2.3845917531955876,3.1396646238386317,3.4427610883336377,1.5110557940954024,59.34662811786247,1.0110003573710642,0.9830366902006188,0.9784723606750632,Bulgaria,BGR,Republic of Bulgaria,45.6,0.4021,0.3031,0.5965,111002,62.620000000000005,0130,BGR,2019,110879,42811,-65,-66,0,0,0,0,0,0,0,8,1000,95,240,2,3,253,1,0,0,2,1,3,2,3,19,0,0,3,2,0,7137,1667,1441,BGR,7.34667873,2018,74.96341463,Bulgaria,2019,9828.14851478139,3.694308379839,NA,NA,NA,NA,NA,21.252967270985,2.39779523220112,NA
