study,wave,version,versn_s,doi_gesis,doi_wvsa,studytit,uniqid,intrvwr_id,cntry,cntry_AN,cntrycow,year,fw_start,fw_end,cntry_y,mode,mm_mixed_mode_EVS5,mm_mode_fu_EVS5,mm_matrix_group_EVS5,mm_fw_start_fu_EVS5,mm_fw_end_fu_EVS5,mm_year_fu_EVS5,ivlength,ivstart,ivstend,ivdate,mm_v277_fu_EVS5,mm_v278a_fu_r_EVS5,mm_v279a_fu_r_EVS5,lnge_num,lnge_iso,gwght,pwght,wght_eq1000,reg_nuts1,reg_nuts2,reg_iso,size_5c,respint,A001,A002,A003,A004,A005,A006,A008,A009,A170,A173,A027,A029,A030,A032,A034,A035,A038,A039,A040,A041,A042,A065,A066,A067,A068,A071,A072,A074,A078,A079,A080_01,A080_02,A124_02,A124_03,A124_06,A124_08,A124_09,A165,B008,C001,C001_01,C002,C002_01,D081,D026_03,D026_05,C038,C039,C041,D001_B,G007_18_B,G007_33_B,G007_34_B,G007_35_B,G007_36_B,D054,D059,D060,D061,D078,E001,E002,E003,E004,Y002,E012,E015,E018,E023,E025,E026,E027,E028,E033,E035,E036,E037,E039,E069_01,E069_02,E069_04,E069_05,E069_06,E069_07,E069_08,E069_18A,E069_18,E069_11,E069_12,E069_13,E069_14,E069_17,E069_20,E111_01,E114,E115,E116,E117,E179_WVS7,E181_EVS5,E224,E225,E226,E227,E228,E229,E233,E233A,E233B,E235,E236,E263,E264,E265_01,E265_02,E265_03,E265_04,E265_05,E265_06,E265_07,E265_08,F025,F028,F028B_WVS7,F066_EVS5,F034,F050,F051,F053,F054,F063,F114A,F115,F116,F117,F118,F119,F120,F121,F122,F123,F132,E290,F144_02,G005,G006,G052,G062,G063,G255,G256,G257,H009,H010,H011,X001,X002,X003,X003R,X003R2,G027A,X002_02A,X002_02B,V002,V002A,V002A_01,V001,V001A,V001A_01,X007,X026,X011,X013,X025A_01,X025R,W002A_01,W002R,V004AM_01,V004RM,V004AF_01,V004RF,X028,W003,X052,X035_EVS5,X036E_WVS7,V097EF,W005_EVS5,W006E_WVS7,X047_WVS7,X047E_EVS5
1,5,1-0-0 (2020-11-13),4-0-0 (2020-10-20),doi:10.4232/1.13095,doi:10.14281/18241.2,EVS5,826050001,1850,826,GB,200,2018,201802,201807,8262018,1,5,NA,NA,NA,NA,NA,57,17.55,18.52,20180313,NA,NA,NA,128,en,0.468296501483905,2.8324437360179,0.56,UKC,UKC2,NA,NA,1,1,2,2,3,1,2,2,4,4,6,1,0,1,0,0,1,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,2,2,2,4,1,1,2,4,2,2,4,2,2,3,2,4,2,2,2,3,3,2,3,1,2,1,3,1,1,2,2,4,1,3,3,3,NA,8,1,1,2,2,1,3,4,2,3,3,3,3,3,3,3,2,3,3,6,3,3,2,NA,NA,82601,1,1,8,8,8,1,10,1,1,NA,NA,3,3,2,3,2,2,3,2,2,3,0,8,NA,5,1,1,1,0,1,8,1,1,1,1,5,1,1,7,10,7,6,1,8,1,1,3,2,2,1,2,2,4,4,2,2,1955,63,5,3,1,826,GB,1,826,GB,1,826,GB,5,1,1,3,7,3,NA,NA,0,1,0,1,2,NA,2,53,NA,8,NA,NA,NA,2
1,5,1-0-0 (2020-11-13),4-0-0 (2020-10-20),doi:10.4232/1.13095,doi:10.14281/18241.2,EVS5,826050002,1850,826,GB,200,2018,201802,201807,8262018,1,5,NA,NA,NA,NA,NA,46,11.3,12.16,20180221,NA,NA,NA,128,en,0.505851534566267,2.8324437360179,0.56,UKC,UKC2,NA,NA,1,1,2,2,1,3,3,2,2,7,3,1,0,0,1,1,1,0,0,0,1,0,0,0,0,1,1,0,0,0,1,1,0,0,1,0,0,0,1,1,2,4,2,4,3,4,2,4,4,4,1,1,2,2,2,2,3,3,4,3,4,3,2,2,4,3,1,1,3,1,1,1,1,1,1,5,10,10,8,3,2,4,1,2,4,2,1,1,2,2,4,2,2,1,1,4,2,4,1,NA,82602,9,1,10,8,1,10,10,8,3,10,1,1,1,1,3,3,2,3,1,1,4,4,8,NA,1,2,1,0,0,0,5,1,1,1,1,10,7,9,9,9,2,5,8,6,1,3,5,1,1,2,1,3,3,4,4,1,1951,67,6,3,2,276,DE,1,826,GB,0,276,DE,1,1,0,2,7,3,7,3,8,3,5,3,4,4,NA,21,NA,1,23,NA,NA,3
1,5,1-0-0 (2020-11-13),4-0-0 (2020-10-20),doi:10.4232/1.13095,doi:10.14281/18241.2,EVS5,826050003,1850,826,GB,200,2018,201802,201807,8262018,1,5,NA,NA,NA,NA,NA,56,9.59,10.55,20180221,NA,NA,NA,128,en,0.468296501483905,2.8324437360179,0.56,UKC,UKC2,NA,NA,1,1,2,4,2,1,2,1,2,10,10,1,0,0,1,0,1,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,0,2,2,2,4,2,4,3,4,4,1,2,4,1,1,2,3,3,3,3,4,3,2,3,2,1,4,1,2,1,1,1,2,1,3,3,1,8,8,9,9,9,2,1,4,2,1,3,4,4,4,4,4,4,3,3,3,4,3,4,3,4,NA,82607,5,4,6,3,5,3,3,5,4,9,8,1,1,2,3,2,1,3,2,1,3,2,4,NA,3,1,1,1,1,1,8,2,3,2,1,6,1,3,10,10,3,2,3,9,1,1,1,4,2,2,2,1,4,3,4,2,1957,61,5,3,1,826,GB,1,826,GB,1,826,GB,1,1,1,2,6,3,3,2,0,1,0,1,1,4,2,53,NA,7,54,NA,NA,2
1,5,1-0-0 (2020-11-13),4-0-0 (2020-10-20),doi:10.4232/1.13095,doi:10.14281/18241.2,EVS5,826050004,1850,826,GB,200,2018,201802,201807,8262018,1,5,NA,NA,NA,NA,NA,44,13.1,13.54,20180215,NA,NA,NA,128,en,1.200198883145,2.8324437360179,0.56,UKC,UKC2,NA,NA,1,1,1,2,2,2,4,2,2,8,8,0,1,1,0,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,1,2,4,3,3,2,4,4,4,2,4,1,1,1,2,2,2,3,4,4,3,3,4,3,2,4,3,1,1,3,2,1,1,2,2,4,8,6,5,4,2,2,3,3,3,3,3,3,3,3,3,3,2,2,3,4,4,3,4,1,NA,82603,9,1,10,8,3,10,10,4,2,10,7,2,1,1,3,3,4,2,1,3,4,0,8,NA,7,3,0,0,0,0,1,2,6,2,1,10,7,8,10,9,5,10,2,1,1,2,3,2,1,2,2,2,3,4,4,1,1965,53,4,3,1,826,GB,1,826,GB,1,826,GB,3,1,2,2,3,2,NA,NA,6,3,7,3,1,3,2,21,NA,1,32,NA,NA,9
1,5,1-0-0 (2020-11-13),4-0-0 (2020-10-20),doi:10.4232/1.13095,doi:10.14281/18241.2,EVS5,826050005,1850,826,GB,200,2018,201802,201807,8262018,1,5,NA,NA,NA,NA,NA,42,16.37,17.19,20180313,NA,NA,NA,128,en,0.468296501483905,2.8324437360179,0.56,UKC,UKC2,NA,NA,1,1,1,2,3,1,3,2,3,5,6,1,1,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,2,1,2,5,1,1,1,5,3,4,3,4,1,2,2,3,3,4,1,3,4,3,4,3,4,4,3,2,0,2,1,4,1,3,3,1,5,7,6,8,5,4,3,3,4,2,3,4,4,4,3,3,3,1,3,4,3,3,3,4,2,NA,82602,4,3,8,9,9,5,9,9,6,8,4,1,2,2,3,2,4,4,2,3,3,2,8,NA,7,2,0,0,0,0,1,1,1,1,1,10,5,6,10,10,5,5,1,5,1,2,3,4,4,3,4,4,3,4,4,2,1958,60,5,3,1,826,GB,1,826,GB,1,826,GB,5,1,2,1,7,3,NA,NA,0,1,0,1,1,NA,2,91,NA,6,NA,NA,NA,2
1,5,1-0-0 (2020-11-13),4-0-0 (2020-10-20),doi:10.4232/1.13095,doi:10.14281/18241.2,EVS5,826050006,1850,826,GB,200,2018,201802,201807,8262018,1,5,NA,NA,NA,NA,NA,64,14.43,15.47,20180219,NA,NA,NA,128,en,0.662273903533723,2.8324437360179,0.56,UKC,UKC2,NA,NA,2,1,2,2,2,4,1,2,5,3,10,1,0,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,0,2,NA,3,3,1,1,2,5,4,2,2,3,2,3,2,3,2,2,3,4,4,2,NA,3,NA,4,NA,NA,1,NA,1,2,2,3,3,3,5,NA,NA,3,NA,2,2,4,4,2,3,3,4,4,3,4,NA,4,3,NA,5,NA,NA,NA,NA,NA,82601,NA,1,1,5,5,NA,10,5,5,10,5,1,1,2,NA,NA,2,3,2,NA,3,2,8,NA,7,1,1,1,1,1,8,5,1,NA,1,1,NA,5,5,5,1,NA,1,10,1,1,1,4,NA,3,4,1,NA,NA,NA,2,1937,82,6,3,1,826,GB,1,826,GB,1,826,GB,5,1,4,1,4,2,NA,NA,0,1,0,1,4,NA,1,94,NA,9,NA,NA,NA,NA
1,5,1-0-0 (2020-11-13),4-0-0 (2020-10-20),doi:10.4232/1.13095,doi:10.14281/18241.2,EVS5,826050007,1850,826,GB,200,2018,201802,201807,8262018,1,5,NA,NA,NA,NA,NA,49,15.55,16.44,20180219,NA,NA,NA,128,en,0.68410488734949,2.8324437360179,0.56,UKC,UKC2,NA,NA,1,1,1,3,3,4,2,1,1,8,5,1,0,0,0,0,1,1,0,1,1,0,1,0,0,0,0,0,1,0,0,0,0,0,1,0,1,1,2,2,1,2,1,2,3,3,2,2,2,2,1,2,1,3,2,2,2,3,3,1,3,3,2,2,3,2,0,2,1,3,3,3,3,3,5,1,1,1,1,2,2,3,4,1,3,3,3,3,3,3,3,2,3,4,2,1,2,4,4,NA,82601,9,5,5,5,5,5,10,10,5,6,5,3,1,2,3,3,3,3,3,NA,3,2,3,NA,1,1,1,0,1,1,6,1,1,1,1,1,1,4,4,6,1,1,2,2,1,1,4,2,2,2,1,1,2,3,4,2,1937,82,6,3,1,826,GB,1,826,GB,1,826,GB,5,1,4,1,1,1,NA,NA,0,1,0,1,4,NA,NA,92,NA,10,NA,NA,NA,1
1,5,1-0-0 (2020-11-13),4-0-0 (2020-10-20),doi:10.4232/1.13095,doi:10.14281/18241.2,EVS5,826050008,1850,826,GB,200,2018,201802,201807,8262018,1,5,NA,NA,NA,NA,NA,56,15.12,16.08,20180215,NA,NA,NA,128,en,0.468296501483905,2.8324437360179,0.56,UKC,UKC2,NA,NA,1,NA,1,1,1,2,1,2,4,7,3,1,0,0,1,1,1,0,1,0,0,0,1,0,0,0,1,0,0,0,0,1,0,0,0,0,1,0,1,1,2,5,2,5,1,5,2,5,2,4,1,1,1,2,2,2,2,4,4,3,3,1,3,4,1,2,1,1,1,1,1,1,1,1,3,6,9,5,5,2,1,3,2,2,3,1,1,1,4,3,4,1,1,1,3,4,2,4,1,NA,82602,10,4,10,10,2,10,10,7,3,10,7,2,1,1,4,1,4,4,1,3,4,1,1,NA,1,1,1,1,0,1,9,1,4,1,1,10,6,7,10,8,10,7,7,1,1,1,5,2,3,2,2,2,2,2,2,2,1956,62,5,3,1,826,GB,0,372,IE,1,826,GB,4,1,1,1,6,3,NA,NA,0,1,0,1,8,NA,1,23,NA,5,NA,NA,NA,1
1,5,1-0-0 (2020-11-13),4-0-0 (2020-10-20),doi:10.4232/1.13095,doi:10.14281/18241.2,EVS5,826050009,849,826,GB,200,2018,201802,201807,8262018,1,5,NA,NA,NA,NA,NA,35,12.17,12.52,20180309,NA,NA,NA,128,en,1.0622291078733,2.8324437360179,0.56,UKC,UKC1,NA,NA,1,1,1,3,4,2,1,3,5,4,4,1,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,2,1,2,4,1,1,2,2,2,4,2,2,1,4,2,3,4,4,1,3,2,2,3,3,2,2,4,3,0,2,1,4,1,3,3,3,5,5,10,6,5,3,3,3,2,3,4,NA,3,3,4,4,3,3,3,NA,1,3,NA,2,1,NA,82607,10,10,10,10,10,10,10,10,1,10,1,3,3,3,NA,1,3,3,3,1,NA,8,8,NA,7,1,0,1,0,1,1,4,5,1,1,7,1,1,1,10,6,6,1,6,1,2,1,3,3,2,3,3,NA,4,NA,2,1979,39,3,2,1,826,GB,1,826,GB,1,826,GB,1,1,5,4,1,1,3,2,0,1,NA,NA,8,8,2,53,NA,6,74,NA,NA,1
1,5,1-0-0 (2020-11-13),4-0-0 (2020-10-20),doi:10.4232/1.13095,doi:10.14281/18241.2,EVS5,826050010,849,826,GB,200,2018,201802,201807,8262018,1,5,NA,NA,NA,NA,NA,84,10.04,11.28,20180309,NA,NA,NA,128,en,0.636929238264353,2.8324437360179,0.56,UKC,UKC1,NA,NA,1,1,1,2,2,1,1,2,2,7,5,1,0,1,0,0,1,0,1,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,1,0,1,0,2,2,2,5,2,4,1,4,1,2,1,1,1,3,2,3,1,1,2,4,4,3,4,3,1,3,2,2,1,3,3,2,1,3,3,3,5,1,5,1,5,2,2,2,2,3,3,3,2,2,3,3,NA,2,NA,2,1,2,NA,4,1,NA,82602,10,1,1,5,5,10,10,10,1,10,8,1,3,1,4,1,NA,NA,NA,NA,NA,1,2,NA,1,1,1,1,0,1,10,10,1,1,1,10,1,1,10,10,1,10,1,1,0,NA,4,1,4,1,1,1,2,4,4,2,1977,41,3,2,2,616,PL,0,616,PL,0,616,PL,1,1,4,5,8,3,3,2,3,2,NA,NA,5,1,1,53,NA,7,83,NA,NA,3
