country_region,date,res_pct_chnge
Afghanistan,2020-02-15,5.5
Afghanistan,2020-02-16,-0.5
Afghanistan,2020-02-17,-1.5
Afghanistan,2020-02-18,-0.5
Afghanistan,2020-02-19,1.5
Afghanistan,2020-02-20,1
Afghanistan,2020-02-21,0.5
Afghanistan,2020-02-22,0
Afghanistan,2020-02-23,1
Afghanistan,2020-02-24,-0.5
Afghanistan,2020-02-25,0.5
Afghanistan,2020-02-26,1
Afghanistan,2020-02-27,1.5
Afghanistan,2020-02-28,1.5
Afghanistan,2020-02-29,1
Afghanistan,2020-03-01,0.5
Afghanistan,2020-03-02,-1
Afghanistan,2020-03-03,0
Afghanistan,2020-03-04,1.5
Afghanistan,2020-03-05,1.5
Afghanistan,2020-03-06,1.5
Afghanistan,2020-03-07,1
Afghanistan,2020-03-08,-0.5
Afghanistan,2020-03-09,8.5
Afghanistan,2020-03-10,1
Afghanistan,2020-03-11,1.5
Afghanistan,2020-03-12,1
Afghanistan,2020-03-13,0.5
Afghanistan,2020-03-14,0
Afghanistan,2020-03-15,0.5
Afghanistan,2020-03-16,1
Afghanistan,2020-03-17,1
Afghanistan,2020-03-18,1.5
Afghanistan,2020-03-19,2.5
Afghanistan,2020-03-20,1.5
Afghanistan,2020-03-21,7.5
Afghanistan,2020-03-22,2.5
Afghanistan,2020-03-23,2.5
Afghanistan,2020-03-24,4.5
Afghanistan,2020-03-25,7
Afghanistan,2020-03-26,7.5
Afghanistan,2020-03-27,5
Afghanistan,2020-03-28,12.5
Afghanistan,2020-03-29,12.5
Afghanistan,2020-03-30,13.5
Afghanistan,2020-03-31,14.5
Afghanistan,2020-04-01,14
Afghanistan,2020-04-02,15.5
Afghanistan,2020-04-03,7
Afghanistan,2020-04-04,12
Afghanistan,2020-04-05,14
Afghanistan,2020-04-06,13
Afghanistan,2020-04-07,12
Afghanistan,2020-04-08,17.5
Afghanistan,2020-04-09,20
Afghanistan,2020-04-10,13.5
Afghanistan,2020-04-11,19
Afghanistan,2020-04-12,19
Afghanistan,2020-04-13,17.5
Afghanistan,2020-04-14,18
Afghanistan,2020-04-15,17.5
Afghanistan,2020-04-16,19
Afghanistan,2020-04-17,13.5
Afghanistan,2020-04-18,17
Afghanistan,2020-04-19,17
Afghanistan,2020-04-20,15
Afghanistan,2020-04-21,14.5
Afghanistan,2020-04-22,14.5
Afghanistan,2020-04-23,16
Afghanistan,2020-04-24,16.5
Afghanistan,2020-04-25,21
Afghanistan,2020-04-26,20.5
Afghanistan,2020-04-27,18
Afghanistan,2020-04-28,15.5
Afghanistan,2020-04-29,17.5
Afghanistan,2020-04-30,20
Afghanistan,2020-05-01,15
Afghanistan,2020-05-02,19
Afghanistan,2020-05-03,19.5
Afghanistan,2020-05-04,17
Afghanistan,2020-05-05,19
Afghanistan,2020-05-06,19
Afghanistan,2020-05-07,19.5
Afghanistan,2020-05-08,12.5
Afghanistan,2020-05-09,15.5
Afghanistan,2020-05-10,17.5
Afghanistan,2020-05-11,15.5
Afghanistan,2020-05-12,17
Afghanistan,2020-05-13,16.5
Afghanistan,2020-05-14,16.5
Afghanistan,2020-05-15,12
Afghanistan,2020-05-16,15
Afghanistan,2020-05-17,16
Afghanistan,2020-05-18,13.5
Afghanistan,2020-07-03,5
Afghanistan,2020-07-04,8.5
Afghanistan,2020-07-05,9.5
Afghanistan,2020-07-06,7
Afghanistan,2020-07-07,7
Afghanistan,2020-07-08,7
Afghanistan,2020-07-09,8
Afghanistan,2020-07-10,5.5
Afghanistan,2020-07-11,7
Afghanistan,2020-07-12,8
Afghanistan,2020-07-13,6
